Region,Year,Month,tp,cdir,e,avg_pevr,avg_tprate,v10,d2m,t2m,sp,skt,si10,tcc,stl1
ARP,1940,1,0.000101965,14831240,-0.000956886,-2.17E-05,1.18E-06,0.056307465,276.41455,288.8599,94633.01,290.3653,3.6501787,0.21414277,290.5686
ARP,1940,2,0.00027538,16728857,-0.001018584,-2.69E-05,3.19E-06,0.16767843,278.44247,291.33606,94624.21,293.2349,4.152917,0.27995902,293.3391
ARP,1940,3,0.000863674,19627470,-0.001450412,-2.99E-05,1.00E-05,-0.5490291,278.03613,291.41873,94588.65,293.7695,4.1885858,0.25055405,293.89932
ARP,1940,4,0.000534566,22045226,-0.001071866,-3.83E-05,6.19E-06,0.2618524,281.91113,297.1912,94398.41,300.00018,3.7626042,0.33462295,299.8714
ARP,1940,5,0.000180418,22873882,-0.000839162,-4.91E-05,2.09E-06,-0.77531135,278.58002,301.8536,94127.52,304.75504,3.7610712,0.18625619,304.69345
ARP,1940,6,4.60E-05,20747452,-0.000922857,-5.28E-05,5.33E-07,-1.9784023,277.572,303.9645,93813.33,306.15463,4.2933435,0.08830574,306.15363
ARP,1940,7,5.81E-05,20349540,-0.000967638,-5.34E-05,6.72E-07,-2.2430015,279.4649,304.29428,93723.586,306.52542,4.4901924,0.17582928,306.50858
ARP,1940,8,0.000106363,20612998,-0.000854736,-5.12E-05,1.23E-06,-1.85278,281.21777,304.75745,93685.45,307.22446,4.065244,0.18006454,307.27524
ARP,1940,9,0.000196102,19120594,-0.00096419,-4.28E-05,2.27E-06,-1.221474,279.02515,301.72287,94143.64,303.87518,3.4961853,0.084774084,304.03363
ARP,1940,10,0.000154088,17874576,-0.000993728,-3.53E-05,1.78E-06,0.12902558,279.0406,298.4045,94599.63,300.2395,3.2715108,0.24350482,300.43185
ARP,1940,11,0.000116755,15948167,-0.001168491,-2.61E-05,1.35E-06,-0.2051361,279.2758,293.12534,94692.82,294.79684,3.4310133,0.17307268,295.11398
