Region,Year,Month,tp,cdir,e,avg_pevr,avg_tprate,v10,d2m,t2m,sp,skt,si10,tcc,stl1
CAU,1940,1,0.002488891,25918944,-0.00199186,-8.47E-05,2.88E-05,1.1177914,286.89578,301.98215,97251.53,305.19275,4.759331,0.4564349,305.68048
CAU,1940,2,0.000914306,24732678,-0.00136665,-9.70E-05,1.06E-05,2.240045,282.65784,302.9565,97518.46,305.74408,5.244463,0.28207168,306.22723
CAU,1940,3,0.000120846,22193136,-0.000688784,-8.97E-05,1.40E-06,1.0226825,278.57538,302.06815,97823.664,305.09018,4.5011554,0.2006911,305.58786
CAU,1940,4,7.86E-05,18195878,-0.000645353,-7.06E-05,9.10E-07,1.5991371,278.45038,298.62128,98169.984,300.8419,4.334552,0.25925484,301.51572
CAU,1940,5,0.000147901,14591143,-0.000601123,-4.89E-05,1.71E-06,1.1082015,276.04984,292.4009,98391.65,293.89374,3.981065,0.24213178,294.56265
CAU,1940,6,0.001134241,12104220,-0.000861854,-3.34E-05,1.31E-05,0.46296597,277.53918,288.89078,98518.65,289.6446,3.9951577,0.42357612,290.2047
CAU,1940,7,0.000307847,12387682,-0.000890229,-3.51E-05,3.56E-06,0.57437813,277.69073,288.99173,98513.73,289.90784,3.6225145,0.21211563,290.32367
CAU,1940,8,0.000129315,15633010,-0.000647428,-5.26E-05,1.50E-06,0.9354085,274.2791,291.43494,98459.49,292.99115,4.140514,0.1316872,293.17075
CAU,1940,9,0.000641412,19575740,-0.001081073,-6.09E-05,7.42E-06,0.82003,277.96417,293.44345,98204.73,295.89484,4.5163913,0.246378,296.08734
CAU,1940,10,0.000376931,23565014,-0.00096963,-8.22E-05,4.36E-06,1.0042142,278.80084,298.3456,98011.87,301.77103,4.554767,0.28726888,301.83023
CAU,1940,11,0.000153418,26014858,-0.000658589,-9.81E-05,1.78E-06,2.0653968,276.7637,300.53876,97718.52,304.50943,5.0277576,0.31505847,304.7871
CAU,1940,12,0.000313831,26600242,-0.00074366,-0.000106056,3.63E-06,1.3239974,279.46,304.04916,97599.23,308.32248,4.743487,0.28048754,308.50333
CAU,1950,1,0.000747413,26252814,-0.001135344,-0.000102481,8.65E-06,1.3749813,283.20026,303.77298,97329.484,307.71765,4.7089396,0.31202212,308.17966
CAU,1950,2,0.001269947,24598652,-0.001689244,-8.78E-05,1.47E-05,1.7034186,285.09348,302.02686,97395.09,305.1984,4.725824,0.30960834,305.534
CAU,1950,3,0.001744268,22135856,-0.00121751,-7.84E-05,2.02E-05,2.238042,281.06815,300.02478,97710.945,302.51276,4.776445,0.21221675,303.20682
CAU,1950,4,0.000217674,18442530,-0.000931294,-6.57E-05,2.52E-06,1.3406768,278.54205,296.52094,98111,298.55118,4.1827326,0.18930674,299.17374
CAU,1950,5,0.001401282,14270524,-0.001214557,-4.04E-05,1.62E-05,0.22497334,282.15506,292.8319,97968.07,294.02686,3.6080484,0.41892546,294.8219
CAU,1950,6,0.001104498,12266234,-0.001389654,-2.69E-05,1.28E-05,1.3091638,279.6211,286.77817,98371.96,287.4577,3.8845298,0.2824835,288.2241
CAU,1950,7,0.000438166,12504304,-0.001016131,-3.33E-05,5.07E-06,1.1357462,276.02264,286.9264,98538,287.60382,4.1784997,0.22722563,288.1195
CAU,1950,8,0.000119068,15572521,-0.000779658,-4.86E-05,1.38E-06,0.8225369,275.17017,290.00064,98456.875,291.35468,4.0269675,0.1407103,291.66812
CAU,1950,9,0.000125648,19674094,-0.000777772,-6.87E-05,1.45E-06,0.6450861,275.76703,294.72498,98181.11,296.9343,4.3618746,0.13580504,297.2144
CAU,1950,10,0.000498116,23615800,-0.001139148,-7.90E-05,5.77E-06,1.214559,278.06506,296.87796,97923.63,299.7653,4.505031,0.23428375,300.24377
CAU,1950,11,0.000652924,25789730,-0.001238166,-9.50E-05,7.56E-06,1.3518094,279.7551,300.62674,97540.57,304.0719,4.745762,0.2060013,304.47104
CAU,1950,12,0.001877426,26127170,-0.001805244,-9.25E-05,2.17E-05,1.6538099,284.26587,301.8889,97383.98,305.1725,5.214684,0.32500547,305.55362
CAU,1960,1,0.001375668,26036264,-0.001586906,-9.58E-05,1.59E-05,0.60740405,286.03302,303.4672,97417.336,307.31406,4.7846074,0.40106478,307.5254
CAU,1960,2,0.002939161,24196964,-0.002479128,-7.64E-05,3.40E-05,1.3300613,288.98605,301.08612,97521.14,303.66367,4.424497,0.45277917,304.1768
