Region,Year,Month,tp,cdir,e,avg_pevr,avg_tprate,v10,d2m,t2m,sp,skt,si10,tcc,stl1
EEU,1940,1,0.000635134,2507444.2,-4.17E-05,-3.22E-06,7.3492056e-06,0.3789705,250.12265,252.87593,100708.97,252.51195,3.5810611,0.8288773,271.3756
EEU,1940,2,0.001161808,5410419,-0.000191123,-4.78E-06,1.34456e-05,1.1191317,257.66574,260.64597,100325.055,260.24527,4.3156066,0.737076,271.34213
EEU,1940,3,0.001596592,10326685,-0.000362004,-9.21E-06,1.8476883e-05,1.3190895,264.89914,267.86356,99631.875,267.56946,4.1215525,0.8617377,271.8774
EEU,1940,4,0.001161755,15957487,-0.001303913,-2.30E-05,1.3445732e-05,0.32507023,272.76633,277.65088,100061.79,277.6656,3.8509045,0.65479034,276.64258
EEU,1940,5,0.001060209,20363258,-0.002431039,-3.75E-05,1.2269965e-05,-0.9864145,275.9886,282.87244,100238.234,283.123,3.3770263,0.57421595,282.43973
EEU,1940,6,0.001991413,22055710,-0.003216597,-4.85E-05,2.3047625e-05,-0.49118692,283.16602,289.62177,99573.41,290.104,3.3471408,0.49479493,289.33768
EEU,1940,7,0.002298886,20943482,-0.003108621,-5.09E-05,2.6605834e-05,-0.000595066,286.99133,293.58978,99436.13,294.1879,2.9228535,0.51315755,293.80106
EEU,1940,8,0.001708482,17157214,-0.002490843,-5.22E-05,1.9776237e-05,0.62613314,285.26688,293.78668,99915.39,294.12228,3.3246603,0.41188985,293.95523
EEU,1940,9,0.001780692,11501777,-0.001308452,-3.02E-05,2.0610023e-05,1.1026925,280.92703,288.0282,99720,288.01492,3.6993992,0.59303176,288.539
EEU,1940,10,0.001285548,6324121.5,-0.000551831,-1.06E-05,1.487681e-05,-0.4653162,271.35394,276.15875,100476.44,276.07965,3.463062,0.7127717,277.48773
EEU,1940,11,0.00167735,2787114.5,-0.000252846,-3.09E-06,1.9412375e-05,1.453603,271.51813,273.67255,99809.17,273.4071,3.9958975,0.8846415,274.657
EEU,1940,12,0.001596757,1704381.2,-0.000121727,-3.07E-06,1.847861e-05,0.23461041,262.11523,264.29004,99687.19,264.1095,3.7517128,0.8922172,272.55453
EEU,1950,1,0.000911702,2527331.8,-5.54E-05,-3.02E-06,1.05494e-05,-1.7284098,251.52925,254.2451,100116.25,253.5302,3.8525937,0.8022472,270.835
EEU,1950,2,0.001397995,5279922,-0.000148809,-3.89E-06,1.6178974e-05,1.6893185,262.00766,264.20956,99808.08,263.8823,4.065864,0.839197,271.232
EEU,1950,3,0.00110818,10133961,-0.000425023,-8.91E-06,1.2825024e-05,1.0321339,267.21628,270.0572,99974.984,270.02673,4.0767665,0.7517595,271.3624
EEU,1950,4,0.000794143,15707101,-0.001627102,-3.08E-05,9.190885e-06,1.6983811,276.45673,282.37442,100109.61,281.53726,3.7247694,0.54322624,280.29733
EEU,1950,5,0.001459723,19918426,-0.002414861,-4.51E-05,1.6894568e-05,-0.51829374,277.14862,285.58157,99939.45,286.23468,3.497515,0.5163464,285.64462
EEU,1950,6,0.002088394,21743604,-0.002987807,-4.85E-05,2.4171344e-05,-0.4236011,282.07974,289.14792,99404.09,289.94708,3.1856158,0.53438395,289.37006
EEU,1950,7,0.00237506,20692940,-0.002721332,-4.31E-05,2.7489361e-05,-1.4167575,283.75693,289.97665,99222.88,290.50317,3.4165642,0.56847435,290.26025
EEU,1950,8,0.001932726,16713268,-0.002087344,-3.69E-05,2.2369039e-05,-1.4203507,282.5041,288.89398,99534.8,289.45056,3.4050646,0.5300738,289.25003
EEU,1950,9,0.001587331,11342455,-0.001291663,-2.53E-05,1.8371622e-05,0.53748137,281.01678,286.4478,99513.03,286.85352,3.3422015,0.5478859,286.73682
EEU,1950,10,0.001394694,6189134,-0.000670917,-1.01E-05,1.614141e-05,0.5161397,274.73648,278.5099,100559.26,278.86786,3.6011496,0.70121014,279.13403
EEU,1950,11,0.001714568,2897811.8,-0.000279412,-3.76E-06,1.9843594e-05,2.0885468,268.2507,272.00504,100561.4,271.69775,4.0017796,0.726621,272.95132
EEU,1950,12,0.000994987,1715233.8,-0.000150122,-2.21E-06,1.1513383e-05,1.8872072,265.02597,267.3242,100663.49,266.9429,4.0302978,0.8184335,271.26407
EEU,1960,1,0.001802127,2355782,-0.000113472,-2.57E-06,2.0856052e-05,0.59711754,261.5908,263.32568,100098.52,263.15176,3.7409492,0.9302564,271.50208
EEU,1960,2,0.001518368,5268995,-0.000180973,-4.60E-06,1.7571638e-05,0.9970235,261.37518,263.68198,99912.914,263.39862,4.002588,0.8528253,271.382
EEU,1960,3,0.000834881,10343243,-0.000444414,-9.96E-06,9.662375e-06,-0.6834487,263.93103,267.5338,100787.2,267.25644,3.7785106,0.68710685,272.02628
EEU,1960,4,0.001167722,15981755,-0.001391063,-2.53E-05,1.3514976e-05,-0.36246902,271.53534,278.27246,100655.73,277.5297,3.7260551,0.6206705,277.34024
EEU,1960,5,0.001069156,20027220,-0.00268411,-4.35E-05,1.2372906e-05,-0.45643172,275.10287,284.48584,100356.586,284.50937,3.6039217,0.5290878,283.90717
EEU,1960,6,0.001888371,21429790,-0.003067736,-5.55E-05,2.185557e-05,-0.34400862,283.40308,291.55923,99587.805,292.0809,3.0680277,0.522176,291.35315
EEU,1960,7,0.001305088,20570154,-0.003188167,-6.19E-05,1.510608e-05,-0.48590338,286.4323,295.20642,99764.14,295.79657,2.8826854,0.4245308,295.00485
EEU,1960,8,0.002159615,16104137,-0.002234883,-3.99E-05,2.4994793e-05,0.17267174,284.08664,290.53903,99443.1,291.04752,3.278622,0.57782,290.97034
EEU,1960,9,0.002108382,10766716,-0.001312892,-2.04E-05,2.4401803e-05,-0.11783557,279.71777,283.90793,100152.3,284.29706,3.3423069,0.70809764,284.57187
EEU,1960,10,0.001814696,5928598.5,-0.000659377,-9.24E-06,2.1002677e-05,0.36462355,273.38882,276.6712,100102.4,276.7676,3.719687,0.7787325,277.67493
EEU,1960,11,0.001416068,2751994.8,-0.000227703,-2.99E-06,1.6388127e-05,1.4144956,266.96942,269.281,100742.016,269.05185,3.71891,0.79587436,271.50247
EEU,1960,12,0.001575229,1573746.1,-0.000157222,-1.39E-06,1.823012e-05,1.8042059,269.87796,271.06448,100373.23,270.7768,3.753638,0.9353221,273.0204
EEU,1970,1,0.001710367,2313520.2,-0.000129289,-2.67E-06,1.979476e-05,0.8479123,260.09283,262.4205,100372.52,262.63083,4.340298,0.90015084,270.21573
EEU,1970,2,0.001592218,5094865.5,-0.000180218,-4.68E-06,1.842588e-05,1.4871509,262.58838,265.25317,99835.31,265.35306,4.31682,0.8287731,270.79044
EEU,1970,3,0.001495626,9824349,-0.000491394,-9.62E-06,1.7308274e-05,1.5110186,266.9551,270.76968,100450.055,270.50262,4.066692,0.7417601,272.17737
EEU,1970,4,0.001632113,15011188,-0.001350192,-2.35E-05,1.8889259e-05,1.2669803,274.22217,279.86154,99911.42,278.99948,3.9380329,0.7138987,277.95557
EEU,1970,5,0.001878359,18734834,-0.002423182,-3.88E-05,2.173952e-05,-0.25174427,277.30103,285.14413,99886.32,285.2017,3.5225077,0.5781935,284.64386
EEU,1970,6,0.001919443,20745600,-0.002992755,-4.88E-05,2.221552e-05,-0.9264506,281.44922,289.42056,99833.266,289.84357,3.1742382,0.541554,289.16806
EEU,1970,7,0.001709098,19992348,-0.002851246,-5.86E-05,1.9780915e-05,-0.35037997,285.2948,294.00668,99613.164,294.8753,3.0407686,0.48043174,294.0711
EEU,1970,8,0.001868167,15640468,-0.002112558,-3.87E-05,2.162136e-05,-0.44454867,283.44376,289.89633,99645.4,290.45282,3.3101435,0.5890544,290.1538
EEU,1970,9,0.001990144,10522459,-0.00135661,-2.17E-05,2.3033894e-05,1.0828036,280.1886,284.9359,99831.96,285.15363,3.377338,0.6527642,285.30646
EEU,1970,10,0.002786982,5653655.5,-0.000728548,-8.11E-06,3.225573e-05,0.9487356,275.65103,278.40347,99743.56,278.45142,4.2401557,0.86310303,278.90054
EEU,1970,11,0.002104459,2653928.8,-0.000252164,-2.96E-06,2.4354938e-05,0.6747476,268.72165,270.56607,99768.95,270.42877,3.928088,0.9203552,272.9993
EEU,1970,12,0.001525461,1592961.6,-0.000117497,-2.36E-06,1.7653914e-05,1.5554663,262.7714,264.58563,100467.25,264.74628,3.9322333,0.93544906,271.28033
EEU,1980,1,0.001356862,2391036.5,-8.30E-05,-2.75E-06,1.57024e-05,0.899635,257.9226,260.17035,100372.47,260.5584,3.9845614,0.878911,268.6882
EEU,1980,2,0.001106179,5125315.5,-0.000169405,-4.28E-06,1.2800749e-05,0.62110674,261.80203,264.25052,100727.9,264.43948,4.052034,0.89828676,270.44843
EEU,1980,3,0.000783509,10124373,-0.000306753,-8.84E-06,9.066649e-06,0.24844348,262.4153,265.9287,100744.24,266.06616,3.8772683,0.7439628,270.4465
EEU,1980,4,0.00188239,14925316,-0.001171847,-2.05E-05,2.1785063e-05,0.29263902,273.86716,278.45755,99940.23,277.85162,3.5690355,0.7500822,276.66898
EEU,1980,5,0.002864867,18561720,-0.002251867,-3.10E-05,3.3157008e-05,-0.07402264,277.38907,283.56534,99930.56,283.4093,3.4376001,0.7152176,282.8038
